Stadium,AvgFirstInningScore,AvgSecondInningScore,AvgFirstInningWicket,AvgSecondInningWicket,FirstBattingWonBy,SecondBattingWonBy
Arun Jaitley Stadium,174.2222222,161.0555556,5.444444444,5.833333333,9,9
Barabati Stadium,167.7142857,157.7142857,6,5.428571429,4,3
Brabourne Stadium,178.5185185,166.1111111,6.185185185,6.074074074,14,13
Buffalo Park,147.3333333,119,6.333333333,6.333333333,2,1
De Beers Diamond Oval,158,141,6.333333333,6.666666667,1,2
Dr DY Patil Sports Academy,159.6486486,148,6.594594595,6.108108108,17,20
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.4615385,130.6923077,6.307692308,6.230769231,7,6
Dubai International Cricket Stadium,163.7608696,149.0869565,5.760869565,5.934782609,24,22
Eden Gardens,161.1265823,148.2025316,6.202531646,5.151898734,35,44
Feroz Shah Kotla,163.4237288,147.8474576,6.050847458,5.711864407,29,30
Green Park,161.25,163.25,7.75,4.5,0,4
Himachal Pradesh Cricket Association Stadium,175.6666667,146.2222222,4.777777778,6.777777778,5,4
Holkar Cricket Stadium,160.3333333,158.7777778,6.888888889,3.333333333,1,8
JSCA International Stadium Complex,149,144.7142857,5.571428571,6,2,5
Kingsmead,152,138.2,7.133333333,6.266666667,9,6
M Chinnaswamy Stadium,169.9220779,153.0909091,6.116883117,5.571428571,35,42
MA Chidambaram Stadium,162.2686567,148.8358209,5.746268657,6.104477612,41,26
Maharashtra Cricket Association Stadium,168.2857143,149.2857143,5.885714286,6.514285714,18,17
"Narendra Modi Stadium, Ahmedabad",154.2857143,151.1428571,6.857142857,4.142857143,2,5
Nehru Stadium,146.8,125.8,5.6,6.8,3,2
New Wanderers Stadium,144,142.5,6.5,5,3,5
Newlands,139.4285714,112.5714286,7.142857143,6,6,1
OUTsurance Oval,135,129.5,6,6.5,1,1
Punjab Cricket Association IS Bindra Stadium,165.6428571,155.9285714,6.160714286,5.089285714,24,32
Rajiv Gandhi International Stadium,157.65625,146.78125,6.359375,5.4375,30,34
"Sardar Patel Stadium, Motera",163.1666667,149,6.583333333,5.166666667,7,5
Saurashtra Cricket Association Stadium,168.9,162.7,6.2,4.5,4,6
Sawai Mansingh Stadium,157.6808511,145.8085106,5.787234043,5.234042553,15,32
Shaheed Veer Narayan Singh International Stadium,146.3333333,143.8333333,6.166666667,3.833333333,2,4
Sharjah Cricket Stadium,159.0357143,147.5,6.214285714,5.285714286,10,18
Sheikh Zayed Stadium,158.862069,145.6206897,5.827586207,5.379310345,13,16
St George's Park,159,131.4285714,4.714285714,6.285714286,3,4
Subrata Roy Sahara Stadium,149.4375,133.5625,5.125,6.3125,10,6
SuperSport Park,154.8333333,149.5833333,6.333333333,4.75,4,8
"Vidarbha Cricket Association Stadium, Jamtha",149.3333333,144.6666667,8,8,2,1
Wankhede Stadium,167.1923077,156.7596154,6.057692308,5.990384615,48,56
"Zayed Cricket Stadium, Abu Dhabi",159,150.375,6.75,4.875,3,5